MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N4,78ABFL33,SEC RE NCD 7.80% SR V,       986.00,       987.00,       987.00,       986.22,       986.22,                   108494.34,110, ,3,      1040.00,       960.00
N,N4,801TCH25,SEC RED NCD 8.01% SR.II,       998.60,       998.60,      1000.10,       998.60,      1000.00,                   930965.11,931, ,10,      1100.01,       951.00
N,N4,840CIFCL28,SEC RE NCD 8.40% SR.V,      1000.00,       999.00,       999.00,       999.00,       999.00,                     9990.00,10, ,1,      1070.00,       995.00
N,N4,945IFSL25,SEC RE NCD 9.45% SR.I,       980.00,       980.00,       980.00,       980.00,       980.00,                    14700.00,15, ,2,      1170.00,       941.00
N,N4,IIFCL,8.91% TAX FREE NCD,      1284.90,      1298.90,      1299.00,      1298.90,      1299.00,                     6494.90,5, ,3,      1359.90,      1241.02
N,N5,10CAGL27,SEC RE NCD 10% SR. V,      1010.10,      1010.00,      1019.10,      1010.00,      1010.44,                  2318206.50,2295, ,22,      1067.00,       888.00
N,N5,751HUDCO28,7.51 NCD 16FEB28 TR1 SR2,      1092.00,      1088.50,      1090.00,      1088.50,      1090.00,                   328088.00,301, ,4,      1154.98,      1065.00
N,N5,81ABFL33,SEC RE NCD 8.10% SR VI,      1000.00,      1054.50,      1055.00,      1054.50,      1054.93,                   464170.00,440, ,3,      1125.00,       993.00
N,N5,850NHAI29,8.50% TAX FREE TR I S IIA,      1170.00,      1155.99,      1155.99,      1155.99,      1155.99,                   653134.35,565, ,5,      1252.00,      1003.66
N,N5,873NTPC28,8.73%S-R-NCD SERIES 2B,      1112.25,      1167.50,      1167.50,      1167.50,      1167.50,                   496187.50,425, ,1,      1374.90,      1103.66
N,N5,879NHPC28,8.79% SEC RED BOND S2B,      1160.00,      1168.69,      1168.79,      1168.69,      1168.79,                    93498.10,80, ,3,      1299.90,      1090.53
N,N5,888ERFL28,SEC RED NCD 8.88% SR. V,       929.00,       929.79,       929.80,       929.79,       929.80,                    18595.81,20, ,2,       970.00,       825.80
N,N5,925IHFL25,SEC RE NCD 9.25% SR II,       975.55,       975.55,       975.55,       975.55,       975.55,                     9755.50,10, ,1,      1110.00,       940.10
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,       978.60,       990.00,       990.00,       980.25,       980.25,                   264803.25,268, ,6,      1024.90,       894.01
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       941.45,       941.45,       954.00,       938.00,       940.23,                  1116500.69,1185, ,22,      1006.00,       910.00
N,N5,980IFSL25,SEC RE NCD 9.80% SR.II,       849.00,       970.20,      1000.00,       970.20,      1000.00,                    36195.40,37, ,15,      1085.00,       849.00
N,N5,PFC,8.30% TAX FREE NCD,      1122.00,      1122.00,      1126.00,      1122.00,      1126.00,                   505530.00,450, ,3,      1179.90,      1054.00
N,N6,10IIFL29,UNSEC RED NCD 10.0% SR. V,       955.10,       996.81,       996.81,       996.81,       996.81,                     8971.29,9, ,1,      1078.00,       875.20
